beaconid, anchorId, time, rssi
b2,b827ebdef939,1632827855081,-88
b2,b827eb3f8951,1632827855085,-80
b2,b827ebd2aa10,1632827855087,-67
b2,b827eb527b42,1632827855089,-78
b2,b827eb5b744d,1632827855556,-66
b2,b827ebed958b,1632827855561,-58
b2,b827eb259b99,1632827855573,-85
b2,b827eb3f8951,1632827855592,-79
b2,b827ebd2aa10,1632827855595,-79
b2,b827eb640a9c,1632827855596,-72
b2,b827eb527b42,1632827855596,-77
b2,b827eb5b744d,1632827856062,-61
b2,b827ebed958b,1632827856067,-74
b2,b827eb259b99,1632827856078,-87
b2,b827ebd17612,1632827856083,-85
b2,b827ebdef939,1632827856095,-77
b2,b827eb3f8951,1632827856097,-64
b2,b827eb640a9c,1632827856101,-60
b2,b827eb0827cf,1632827856114,-83
b2,b827eb5b744d,1632827856565,-70
b2,b827ebed958b,1632827856572,-74
b2,b827eb259b99,1632827856583,-75
b2,b827ebd17612,1632827856586,-72
b2,b827eb3f8951,1632827856601,-79
b2,b827ebd2aa10,1632827856605,-76
b2,b827eb527b42,1632827856605,-65
b2,b827eb640a9c,1632827856607,-79
b2,b827ebfa82f0,1632827856615,-89
b2,b827eb0827cf,1632827856618,-78
b2,b827eb3ab224,1632827856620,-85
b2,b827eb5b744d,1632827857075,-69
b2,b827ebed958b,1632827857082,-60
b2,b827eb259b99,1632827857093,-76
b2,b827ebd17612,1632827857096,-86
b2,b827ebc26413,1632827857103,-90
b2,b827eb3f8951,1632827857110,-79
b2,b827eb527b42,1632827857115,-80
b2,b827ebd2aa10,1632827857115,-77
b2,b827eb640a9c,1632827857119,-68
b2,b827eb0827cf,1632827857128,-78
b2,b827eb5b744d,1632827857581,-70
b2,b827ebed958b,1632827857587,-74
b2,b827eb259b99,1632827857599,-76
b2,b827ebd17612,1632827857602,-95
b2,b827ebc26413,1632827857608,-74
b2,b827ebdef939,1632827857614,-77
b2,b827eb3f8951,1632827857616,-84
b2,b827ebd2aa10,1632827857620,-83
b2,b827eb527b42,1632827857621,-74
b2,b827eb640a9c,1632827857622,-67
b2,b827eb0827cf,1632827857635,-79
b2,b827eb3ab224,1632827857637,-65
b2,b827ebc26413,1632827858116,-60
b2,b827ebdef939,1632827858121,-86
b2,b827eb3f8951,1632827858123,-85
b2,b827eb3ab224,1632827858144,-77
b2,b827ebed958b,1632827858597,-76
b2,b827eb259b99,1632827858609,-72
b2,b827ebc26413,1632827858620,-81
b2,b827ebd2aa10,1632827858630,-81
b2,b827eb640a9c,1632827858632,-66
b2,b827eb0827cf,1632827858645,-93
b2,b827eb3ab224,1632827858646,-83
b2,b827eb5b744d,1632827859095,-74
b2,b827ebc26413,1632827859123,-80
b2,b827ebdef939,1632827859128,-88
b2,b827eb5b744d,1632827859603,-77
b2,b827ebed958b,1632827859609,-73
b2,b827eb259b99,1632827859620,-87
b2,b827ebd17612,1632827859624,-84
b2,b827ebc26413,1632827859632,-82
b2,b827ebdef939,1632827859636,-72
b2,b827eb3f8951,1632827859639,-81
b2,b827ebd2aa10,1632827859642,-78
b2,b827eb527b42,1632827859643,-76
b2,b827eb640a9c,1632827859643,-74
b2,b827ebfa82f0,1632827859652,-75
b2,b827eb0827cf,1632827859656,-87
b2,b827eb3ab224,1632827859658,-88
b2,b827ebed958b,1632827860113,-60
b2,b827ebdef939,1632827860140,-87
b2,b827ebd2aa10,1632827860147,-85
b2,b827eb259b99,1632827860627,-79
b2,b827ebc26413,1632827860636,-60
b2,b827eb3f8951,1632827860643,-84
b2,b827ebd2aa10,1632827860647,-86
b2,b827eb527b42,1632827860648,-80
b2,b827eb0827cf,1632827860661,-78
b2,b827eb3ab224,1632827860664,-75
b2,b827eb259b99,1632827861126,-66
b2,b827ebd17612,1632827861131,-85
b2,b827ebc26413,1632827861138,-69
b2,b827ebdef939,1632827861142,-84
b2,b827eb3f8951,1632827861145,-83
b2,b827ebd2aa10,1632827861149,-82
b2,b827eb527b42,1632827861150,-82
b2,b827ebfa82f0,1632827861158,-81
b2,b827eb0827cf,1632827861163,-82
b2,b827eb3ab224,1632827861164,-64
b2,b827eb3ab224,1632827861675,-77
b2,b827eb5b744d,1632827862121,-80
b2,b827ebed958b,1632827862126,-83
b2,b827eb259b99,1632827862138,-77
b2,b827ebd17612,1632827862142,-74
b2,b827ebc26413,1632827862149,-84
b2,b827ebdef939,1632827862155,-82
b2,b827eb3f8951,1632827862156,-75
b2,b827eb527b42,1632827862161,-75
b2,b827eb640a9c,1632827862161,-75
b2,b827ebfa82f0,1632827862170,-88
b2,b827eb0827cf,1632827862174,-71
b2,b827eb3ab224,1632827862176,-88
b2,b827eb5b744d,1632827862630,-92
b2,b827ebd17612,1632827862651,-82
b2,b827ebc26413,1632827862657,-86
b2,b827ebdef939,1632827862663,-84
b2,b827eb3f8951,1632827862664,-86
b2,b827eb527b42,1632827862669,-77
b2,b827ebd2aa10,1632827862669,-85
b2,b827ebfa82f0,1632827862679,-83
b2,b827eb0827cf,1632827862683,-71
b2,b827eb3ab224,1632827862684,-77
b2,b827eb5b744d,1632827863139,-76
b2,b827eb259b99,1632827863156,-60
b2,b827ebc26413,1632827863166,-78
b2,b827ebdef939,1632827863171,-77
b2,b827eb3f8951,1632827863173,-90
